level_0,id_paax,actor_type,sub_type,cs_type,international,regional,domestic,un_type,iso3c,country_name,actor_id,actor_name,abbreviation,alt_names
old,ARM_787,Armed Organization,,,,,,,SYR,Syria,787,Al-Fawj Al-Awwal,,Al-Fawj al-Awl
old,ARM_788,Armed Organization,,,,,,,SYR,Syria,788,Sukur Al-Ghab,,
old,ARM_789,Armed Organization,,,,,,,ESP,Spain,789,Basque Nation and Liberty,ETA,Euskadi Ta Askatasuna
old,OTH_790,Umbrella,,,,,,,CAF,Central African Republic,790,Bangui National Forum,,
old,OTH_791,Other,,,1,1,,,,,791,Arbitration Commission of the Conference on Yugoslavia,,
old,MIL_792,Military,,,,,,,HRV,Croatia,792,Croatian Armed Forces,,Croatian Armed Forces | Croatian Army
old,MIL_793,Military,,,,,,, ,Yugoslavia,793,Yugoslav People's Army,,JNA | ARMED FORCES OF SFRY | Socialist Federal Republic of Yugoslavia Armed Forces
old,OTH_794,Other,,,,,1,,SRB,Serbia,794,Local Authorities,,
old,IGO_795,Intergovernmental Organization,,,1,,,UN Mission,,,795,UNCRO,UNCRO,United Nations Confidence Restoration Operation in Croatia
old,MIL_796,Military,,,,,,,BIH,Bosnia and Herzegovina,796,Bosnia and Herzegovina Armed Forces,,Army Bosnia Herzegovina | Army Bosnia Herzegovina ] | BiH | BiH ARMY | BiH Army | BiH ARMY HQ | BiH General
old,POL_797,Political Party,,,,,,,TUN,Tunisia,797,Political Parties,,
old,POL_798,Political Party,,,,,,,MMR,Myanmar (Burma),798,National League for Democracy,NLD,
old,POL_799,Political Party,,,,,,,MMR,Myanmar (Burma),799,Nationalities Brotherhood Federation,NBF,
old,POL_800,Political Party,,,,,,,MMR,Myanmar (Burma),800,Federal Democracy Alliance,FDA,
old,POL_801,Political Party,,,,,,,MMR,Myanmar (Burma),801,United Nationalities Alliance,UNA,
old,POL_802,Political Party,,,,,,,MMR,Myanmar (Burma),802,National Unity Party,NUP,
old,POL_803,Political Party,,,,,,,MMR,Myanmar (Burma),803,Union Solidarity and Development Party,USDP,
old,ARM_804,Armed Organization,,,,,,,MMR,Myanmar (Burma),804,Ethnic Armed Organisations Representatives,,
old,NGO_805,Civil Society,Non-governmental Organization,Other,,,1,,MMR,Myanmar (Burma),805,Civil Society Representative,,
old,MIL_806,Military,,,,,,,MMR,Myanmar (Burma),806,Tatmadaw,,
old,ARM_807,Armed Organization,,,,,,,NER,Niger,807,Democratic Front for Renewal,FDR,Front Démocratique du Renouveau
old,ENT_808,Entity,,,,,,,PAK,Pakistan,808,Shakai,,
old,ENT_809,Entity,,,,,,,PAK,Pakistan,809,South Wazirstan Agency,,
old,ENT_810,Entity,,,,,,,PAK,Pakistan,810,District Wana,,
old,ENT_811,Civil Society,Communities and tribes,,,,,,PAK,Pakistan,811,Isperka,,
old,ENT_812,Civil Society,Communities and tribes,,,,,,PAK,Pakistan,812,Musa Khel,,
old,ARM_813,Armed Organization,,,,,,,MMR,Myanmar (Burma),813,Democratic Kayin Buddhist Army,DKBA,
old,ARM_814,Armed Organization,,,,,,,MMR,Myanmar (Burma),814,All Burma Students’ Democratic Front,ABSDF,
old,ARM_815,Armed Organization,,,,,,,MMR,Myanmar (Burma),815,Pa-Oh National Liberation Organization,PNLO/PNLA,
old,ARM_816,Armed Organization,,,,,,,MMR,Myanmar (Burma),816,Restoration Council of Shan State/Shan State Army (South),RCSS/SSA (South), Shan State Army - South |  Shan State Restoration Council
old,OTH_817,Other,,,,,1,,MMR,Myanmar (Burma),817,Union Peace-Making Working Committee,,
old,ARM_818,Armed Organization,,,,,,,MMR,Myanmar (Burma),818,Karenni National Progressive Party,KNPP,Karenni National Progressive | Karenni National Progressive Party | KNPP | KNPP Khu Oo Reh
old,ARM_819,Armed Organization,,,,,,,MMR,Myanmar (Burma),819,Democratic Karen Benevolent Army,DKBA 5,
